Index,MMM.Close,AXP.Close,AAPL.Close,BA.Close,CAT.Close,CVX.Close,CSCO.Close,KO.Close,DIS.Close,DWDP.Close,XOM.Close,GS.Close,HD.Close,IBM.Close,INTC.Close,JNJ.Close,JPM.Close,MCD.Close,MRK.Close,MSFT.Close,NKE.Close,PFE.Close,PG.Close,TRV.Close,UTX.Close,UNH.Close,VZ.Close,V.Close,WMT.Close,WBA.Close,MMM_r,AXP_r,AAPL_r,BA_r,CAT_r,CVX_r,CSCO_r,KO_r,DIS_r,DWDP_r,XOM_r,GS_r,HD_r,IBM_r,INTC_r,JNJ_r,JPM_r,MCD_r,MRK_r,MSFT_r,NKE_r,PFE_r,PG_r,TRV_r,UTX_r,UNH_r,VZ_r,V_r,WMT_r,WBA_r
2/1/2017,175.169998,76.760002,128.75,163.970001,95.110001,111,30.5,41.259998,111.300003,60.299999,82.940002,230.669998,137.440002,174.289993,36.52,113.230003,84.949997,122.419998,62.099998,63.580002,53.02,31.67,87.330002,116.540001,108.18,162.710007,48.389999,82.440002,66.230003,81.040001,0.002000006,0.004962855,0.059193624,0.003359929,-0.005766153,-0.003148174,-0.007187192,-0.007485294,0.005857201,0.011173267,-0.011388926,0.00586967,-0.001018108,-0.001318833,-0.00818112,-0.00017659,0.003774035,-0.001224556,0.001772843,-0.016689149,0.002265824,-0.001892745,-0.003086906,-0.010583899,-0.013679332,0.003756052,-0.012731158,-0.003269721,-0.007670866,-0.011044424
2/2/2017,174.179993,76.510002,128.529999,162.259995,93.769997,112.209999,31.18,41.400002,110.610001,59.860001,83.449997,230.410004,136.949997,174.580002,36.68,113.57,84.589996,123.220001,64.18,63.169998,52.799999,31.73,87.760002,117.629997,108.360001,160.759995,48.279999,82.300003,66.699997,80.589996,-0.005667712,-0.00326222,-0.001710207,-0.010483534,-0.014189184,0.010841905,0.02205018,0.00338747,-0.006218775,-0.007323568,0.006130135,-0.001127761,-0.003571599,0.001662562,0.004371592,0.002998212,-0.004246804,0.006513645,0.032945679,-0.006469514,-0.004158029,0.001892745,0.004911769,0.009309509,0.00166252,-0.01205698,-0.002275785,-0.001699636,0.00707133,-0.00556835
2/3/2017,175.039993,78.040001,129.080002,162.399994,93.279999,113.57,31.32,41.540001,110.300003,60.209999,83.540001,240.949997,137.979996,175.820007,36.52,113.639999,87.18,124.239998,64.290001,63.68,52.360001,32.09,87.410004,117.779999,109.650002,161.869995,48.580002,86.080002,66.5,80.470001,0.004925272,0.019800051,0.00427005,0.000862435,-0.005239232,0.01204728,0.004480007,0.003375913,-0.002806556,0.005829916,0.001077957,0.044729083,0.007492844,0.007077683,-0.004371592,0.000616161,0.030158938,0.008243779,0.001712478,0.008041068,-0.008368212,0.01128185,-0.0039961,0.00127439,0.011834467,0.006880975,0.006194589,0.044905976,-0.00300296,-0.001490066
2/6/2017,175.100006,77.82,130.289993,163.979996,92.870003,112.980003,31.299999,41.560001,109.57,60.02,83.309998,239.979996,136.490005,175.860001,36.27,113.400002,86.769997,124.449997,64.940002,63.639999,52.799999,32.23,87.400002,117.669998,110.68,160.509995,48.029999,85.830002,66.400002,80.800003,0.000342794,-0.002823061,0.009330299,0.009682054,-0.004405014,-0.005208548,-0.000638806,0.000481348,-0.006640339,-0.003160595,-0.002757005,-0.004033861,-0.01085733,0.000227445,-0.006869102,-0.002114139,-0.004714042,0.001688842,0.010059684,-0.000628354,0.008368212,0.004353241,-0.000114433,-0.00093439,0.009349662,-0.008437298,-0.01138617,-0.002908501,-0.001504861,0.004092546
2/7/2017,175.759995,77.720001,131.529999,166.5,93.309998,111.389999,31.450001,41.900002,109,59.790001,82.769997,239.619995,136.649994,178.460007,36.349998,113.480003,86.720001,124.589996,64.199997,63.43,52.810001,32.080002,88.010002,117.760002,111.25,160.529999,48.040001,85.779999,66.889999,81.43,0.003762126,-0.00128583,0.009472273,0.015250865,0.004726564,-0.014173291,0.004780949,0.008147684,-0.005215732,-0.0038394,-0.006502925,-0.001501256,0.00117148,0.014676296,0.002203196,0.000705227,-0.000576356,0.001124309,-0.011460634,-0.003305252,0.000189414,-0.00466485,0.006955162,0.000764592,0.005136766,0.00012462,0.000208223,-0.000582752,0.007352378,0.007766753
2/8/2017,177.070007,77.800003,132.039993,163.809998,92.910004,111.580002,31.27,42.02,109,59.73,81.480003,237.729996,137.880005,176.169998,36.380001,113.400002,85.959999,124.669998,64.32,63.34,53.880001,32.139999,88.330002,117.809998,110.400002,160.309998,48.369999,85.089996,67.809998,81.529999,0.007425775,0.001028832,0.003869899,-0.016288102,-0.004295936,0.001704292,-0.005739843,0.002859821,0,-0.001004033,-0.015708012,-0.007918755,0.008960909,-0.012915099,0.000825052,-0.000705227,-0.008802489,0.000641916,0.001867461,-0.001419895,0.020058784,0.001868484,0.003629356,0.000424468,-0.007669769,-0.001371407,0.006845748,-0.008076395,0.013660183,0.001227283
2/9/2017,178.179993,78.18,132.419998,164.279999,93.959999,112.260002,31.5,41.25,109.489998,60.259998,81.839996,241.550003,138.710007,177.210007,35.459999,114.080002,87.199997,124.480003,64.389999,64.059998,55.310001,32.380001,88.669998,118.779999,110.089996,160.440002,48.810001,85.580002,69.080002,82.379997,0.006249062,0.004872391,0.00287382,0.002865076,0.011237823,0.006075787,0.007328374,-0.018494583,0.00448532,0.008834094,0.004408445,0.015940944,0.006001695,0.005886083,-0.025613928,0.005978565,0.014322236,-0.001525146,0.001087701,0.011303072,0.026194372,0.00743965,0.003841767,0.008199894,-0.002811975,0.000810625,0.009055464,0.005742162,0.018555635,0.010371614
2/10/2017,179,78.480003,132.119995,166.229996,96.309998,113.050003,31.51,40.580002,109.260002,61.189999,82.519997,242.720001,139.850006,178.679993,35.34,115.239998,87,125.82,64.150002,64,56.220001,32.349998,87.970001,119.730003,111.050003,160.75,48.98,85.900002,68.019997,83.309998,0.00459157,0.003829993,-0.002268112,0.011800064,0.024702986,0.007012598,0.00031741,-0.016375729,-0.002102821,0.015315261,0.008274579,0.004832016,0.008184989,0.008260948,-0.003389806,0.010116919,-0.002296178,0.01070723,-0.003734204,-0.00093703,0.016318841,-0.00092702,-0.007925732,0.007966199,0.008682401,0.00193031,0.003476821,0.003732218,-0.015463547,0.011225913
2/13/2017,181.020004,78.910004,133.289993,168.029999,98.5,113.910004,31.969999,40.619999,109.650002,61.560001,83,246.270004,139.869995,179.360001,35.799999,115.879997,88.150002,125.540001,64.769997,64.720001,56.09,32.610001,88.309998,119.709999,112.019997,161.990005,48.549999,86.440002,67.769997,83.43,0.011221739,0.00546416,0.00881659,0.010770181,0.022484413,0.007578473,0.014492976,0.000985148,0.003563112,0.006028564,0.005799956,0.014519992,0.000142921,0.003798508,0.012932399,0.005538254,0.013131813,-0.002227873,0.009618365,0.011187205,-0.00231504,0.008005061,0.00385747,-0.00016709,0.008696823,0.007684273,-0.008817877,0.006266703,-0.003682161,0.001439391
2/14/2017,181.600006,79.410004,135.020004,168.5,98.089996,112.519997,32.310001,40.529999,110.330002,61.720001,82.82,249.460007,141.360001,180.130005,35.93,116.360001,89.559998,125.809998,65.660004,64.57,56.450001,32.75,87.860001,120.239998,111.57,163.130005,48.27,86.849998,68.660004,83.790001,0.003198955,0.006316342,0.012895792,0.002793221,-0.004171164,-0.012277741,0.010578879,-0.002218116,0.0061824,0.002595718,-0.00217103,0.012870098,0.010596451,0.004283875,0.003624736,0.004133695,0.015868838,0.002148376,0.013647486,-0.002320382,0.006397765,0.004283942,-0.005108679,0.004417586,-0.004025203,0.007012824,-0.005783924,0.004731915,0.013047271,0.004305724
